index,clean_text
316,"one month back, I am possessed Lenovo k mobile now I am facing charging problem now it takes almost hour to full charge "
317,I am not satisfied with this phone though it has lots of good features I have faced several times hanging issue I have lodged complain to amazon but nothing happened 
318,it worked fine for the first days afterwords touch is not working properly sometimes touch doesn't respond after few mins screen keep flickering multiple times without even touching it had horrible experience with this phone I want to return this product 
319,very nice product
320,very good
321,lots of issues as is troubling not buying this item returning policy is not working do to buy on Amazon
322,"bad decision of buying this phone firstly it was not up to the mark as its specifications are mentioned the site mobile was replaced within working days after that they replaced it with a new one the new phone worked properly though not for the next months, then suddenly got dead and now I can't even switch it on poor quality phone from Lenovo no other option but to wait at the service center to get it repaired "
323,"The camera and its performance are nice, but battery backup is very poor"
324,not fast chargingcharging time hrs
325,I request you all please don't buy this product phone is heated up always turbo charger performance is poor phone performance also worse 
326,awesome phone with cool performance moneys worth mobile phone prospector qualitydolby atmosbatteryprocessormusic keystroke androidfast chargecons dual camerano custom heating issue while in charge
327,my goodness never thought about it mobile auto restart issue from the very next week battery draining fast application crash charging issue voice issue from the day of purchase I am facing all these issues 
328,very nice look mobile
329,Koch khas nahi
330,very bad interface screen does not turn off when receiving a call app start and stop working at their own will very poor network reception that feature turns off automatically need to restart or go offline online for the feature to come back camera is only think that is okay about the phone
331,good I using it till months its superb 
332,I want invoice
333,Lenovo could not assure you of separating themselves from their relationship with heating issues a phone though is spectacular at the price but lags in bokeh effect 
334,"nice one, but the battery is not so good "
335,It's an awesome phone in lowest price 
336,body is very heatingbattery usage is sudden decrease
338,"from the beginning, it's google not responding sometime it gives the feelings that I bought a second hand mobile "
339,Good buy for people looking for budget oriented smartphone happy that Lenovo has improved its camera 
340,"I am very irritating with this phone I bought this phone in amazon on the ship my phone having software issue when I am install new app in my phone it was installed, but I can not see on my phone if am rebooting phone, then app will be show on screen and then I can use it this I am facing issue try to solve this problem or suggest me what can I do now am also contacted with customer service center also they can reinstall as but problem not solved "
341,worst phone I have ever taken Lenovo has been fake product killer note total killer 
342,"value for money got before time delivery, excellent performance "
343,Bestest smartphone
344,not up to mark processor is very slow and the operating system is also not user friendly
345,"Don't buy Lenovo phones, it's the worst bet for your money have had enough bad experiences with the k note"
346,Dubai mobile pls dent takes dis I thought MP cam is very god wit d picture selfie but it's not expected its very poor Lenovo k power is better than dis 
347,no headphone in the package
348,nice pricing and nice features value for money
349,awesome mobile battery and camera are best in class 
350,over heating when we use volt and battery draining very fast otherwise phone is ok
351,too good
352,good product satisfied price
353,very poor in quality after using days the phone is dead now
354,Charger not working
355,"performance of the camera front, rear is the worst it doesn't illuminate properly, adequately picture quality images are very poor worst low illuminating irritating strains the eyes even the full brightness is dull worst "
356,"Good, but slightly need to improve the depth mode in the camera "
357,The camera is not good
358,super phone
359,very good product amazon good service
360,just buy it
361,"I owned Lenovo k note before this there is no problem for even years, but this k note is a worst phone that I ever used I faced many problems in my first day of using this phone Dolby sucks screen flickering low sound via earphones please ignore models which came after k note I am going to return this crap "
362,very good product fast delivery by amazon 
363,"this phone was all awesome for me at the given price except for one big flaw, it boasts to have a battery of me, but I have to charge it twice a day the phone loses of charge within hours of normal use by normal use I mean keeping the g data on the mins of call no gaming "
364,"some time hanging problem and battery problem, please call me"
365,amazing speed fluid touch experience app installation time is great charging speed is really good full charge in just hour battery backup is good with full day uses camera quality is really good love this phone
366,"The phone was very good in case of performance, but depth effect was not proper simply waste the case cover they gave was damaged apart from this everything was fine very good product"
367,Lenovo knot near me thank you
368,heating up while using
369,"mobile is fast camera is good, but only one speaker is working did not expect this from a company like Lenovo want to return exchange "
370,a must buy smartphone in the middle range really loving it 
371,good work
372,fine
373,outstanding better than me and redeemed all features is outstanding camera is awesome
374,mobile heated
